93.25,90.75,91.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94.94,91.405,94.815,3.535,91.405,3.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96.375,94.25,94.375,2.125,94.25,0.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96.19,93.5,95.095,2.69,93.5,1.595,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,92.815,93.78,3.185,92.815,0.965,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94.72,93.5,94.625,1.22,93.5,1.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,92,92.53,3,92,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93.72,89.75,92.75,3.97,89.75,3,10.75,NaN,NaN,19.725,NaN,NaN,NaN
92.47,89.44,90.315,3.31,89.44,0.875,8.215,NaN,NaN,19.5,NaN,NaN,NaN
92.75,90.625,92.47,2.435,90.315,2.155,10.245,NaN,NaN,19.81,NaN,NaN,NaN
96.25,92.75,96.125,3.78,92.47,3.655,12.305,NaN,NaN,20.9,NaN,NaN,NaN
99.625,96.315,97.25,3.5,96.125,1.125,12.465,NaN,NaN,21.215,NaN,NaN,NaN
99.125,96.03,98.5,3.095,96.03,2.47,13.81,NaN,NaN,23.09,NaN,NaN,NaN
92.75,88.815,89.875,9.685,88.815,1.06,14.34,NaN,NaN,29.775,NaN,NaN,NaN
91.315,86.75,91,4.565,86.75,4.25,15.59,26.34,NaN,30.37,50.095,NaN,NaN
93.25,90.94,92.815,2.31,90.94,1.875,16.59,24.805,NaN,29.37,48.87,NaN,NaN
93.405,88.905,89.155,4.5,88.905,0.25,14.685,24.93,NaN,31.435,51.245,NaN,NaN
90.655,88.78,89.345,1.875,88.78,0.565,11.595,23.9,NaN,29.53,50.43,NaN,NaN
91.97,89.25,91.625,2.72,89.25,2.375,12.845,25.31,NaN,28.75,49.965,NaN,NaN
92.25,89.75,89.875,2.5,89.75,0.125,10.5,24.31,NaN,28.155,51.245,NaN,NaN
