Data,Difference,Loss,Gain,Avg Loss,Avg Gain,RSI
91.150,NaN,NaN,NaN,NaN,NaN,
90.500,-0.650,0.650,0.000,NaN,NaN,
92.550,2.050,0.000,2.050,NaN,NaN,
94.700,2.150,0.000,2.150,NaN,NaN,
95.550,0.850,0.000,0.850,NaN,NaN,
94.000,-1.550,1.550,0.000,NaN,NaN,
91.300,-2.700,2.700,0.000,NaN,NaN,
91.950,0.650,0.000,0.650,NaN,NaN,
92.450,0.500,0.000,0.500,NaN,NaN,
93.800,1.350,0.000,1.350,0.5444444444444450,0.8388888888888890,60.64257028112440
92.500,-1.300,1.300,0.000,0.6283950617283950,0.7456790123456790,54.26774483378260
94.550,2.050,0.000,2.050,0.5585733882030180,0.8906035665294920,61.45581901651760
96.750,2.200,0.000,2.200,0.4965096784026830,1.0360920591373300,67.60347673886670
97.800,1.050,0.000,1.050,0.4413419363579400,1.0376373858998500,70.15901914813830
98.400,0.600,0.000,0.600,0.3923039434292800,0.9890110096887520,71.59924009048510
98.150,-0.250,0.250,0.000,0.3764923941593600,0.8791208975011130,70.01525894477660
96.700,-1.450,1.450,0.000,0.4957710170305430,0.7814407977787670,61.18333613249870
98.850,2.150,0.000,2.150,0.4406853484715940,0.9335029313589030,67.93122493185930
98.900,0.050,0.000,0.050,0.3917203097525280,0.8353359389856930,68.07641783697100
100.500,1.600,0.000,1.600,0.3481958308911360,0.9202986124317270,72.55046462962620
102.600,2.100,0.000,2.100,0.3095074052365650,1.0513765443837600,77.25688473856160
104.800,2.200,0.000,2.200,0.2751176935436130,1.1790013727855600,81.08011235708990
103.800,-1.000,1.000,0.000,0.3556601720387670,1.0480012202538300,74.66196805072280
103.100,-0.700,0.700,0.000,0.3939201529233490,0.9315566402256290,70.28087138459060
102.000,-1.100,1.100,0.000,0.4723734692651990,0.8280503468672250,63.67542155063880
